Item Code;Item Description;Part No.;Part Description;Model;Unit Of Measurement;Spare Part Type;Location;Specify;Part Category;Is Expiry date Required;Min Nos;Max Nos; Minimum Price Per Nos (RM) ; Maximum Price Per Nos (RM) ;Brand;Status;Expiry Age (In Month);Current Stock Level
BP0018;Motors/ Micromotors/ Carbon brushes;01-0802-0503-085;Flow motor;;Unit;Fast Moving Item;Company Site Office;;Biomedical;Yes;1;3; MYR 500,00 ; MYR 800,00 ;Common;Active;0;0
BP0025;Sensors/ Detectors;01-0101-0101-044;O2 Sensor OOM202;;Unit;One Off;Centralized;;Biomedical;Yes;1;5; MYR 280,00 ; MYR 380,00 ;Common;Active;0;0
BP0005;Casing/ Covers/ Brackets/ Latches/ Part Holders;01-0802-0504-011;Door 22MM Bubble C.Holder 4008SV10;Fresenius 4008S NG;Unit;Just In Time;Company Site Office;;Biomedical;No;1;3; MYR 800,00 ; MYR 826,80 ;Fresenius;Active;0;3
BP0001;Batteries/ UPS;01-0503-0104-001;Battery Pack Fot Tec 7731K;;Unit;Just In Time;Centralized;;Biomedical;Yes;0;10; MYR 650,00 ; MYR 1.400,00 ;Nihon Kohden;Active;0;2
BP0025;Sensors/ Detectors;01-1603-1405-001;DATEX OHMEDA Spo2 FINGER SENSOR Trusignal (TS-F-D);Trusat;Unit;Fast Moving Item;Company Site Office;;Biomedical;Yes;1;20; MYR 385,00 ; MYR 393,00 ;;Active;0;10
BP0025;Sensors/ Detectors;01-0101-0600-002;FLOW TRANDUCER GE;;Unit;Fast Moving Item;Company Site Office;;Biomedical;Yes;5;10; MYR 450,00 ; MYR 790,00 ;Ge;Active;0;1
BP0003;Bulbs/ Lamps;01-1902-0301-002;Bulb 12v 30w;Bc 900;Unit;One Off;Company Site Office;;Biomedical;Yes;1;16; MYR 127,00 ; MYR 130,00 ;Haag-Streit;Active;0;24
BP0001;Batteries/ UPS;01-2300-0201-001;Battery AA (Alkaline);Common;Unit;Fast Moving Item;Company Site Office;;Biomedical;Yes;200;800; MYR 1,85 ; MYR 2,24 ;Energizer;Active;0;595
BP0011;Equipment Specific Parts;01-0322-0101-015;Label Remover;Common;Unit;One Off;Company Site Office;;Biomedical;No;12;24; MYR 25,00 ; MYR 60,00 ;Common;Active;;0
BP0003;Bulbs/ Lamps;01-2406-0401-001;Bulb 12v 100w (64623 HLX);Hlx64625;Unit;One Off;Company Site Office;;Biomedical;Yes;5;10; MYR 85,00 ; MYR 550,00 ;Osram;Active;3;10
BP0027;Switchs/ Knobs/Buttons;01-2406-0101-002;Read Switch;Kcd-10m-7;Unit;Just In Time;Company Site Office;;Biomedical;Yes;5;10; MYR 80,00 ; MYR 85,00 ;TOSHIBA;Active;0;0
BP0011;Equipment Specific Parts;01-0322-0101-006;STP Foam Cleaner;Common;Unit;One Off;Company Site Office;;Biomedical;Yes;12;24; MYR 27,50 ; MYR 75,00 ;Common;Active;0;17
BP0011;Equipment Specific Parts;01-0322-0200-001;Ambersil - Label Remover;;Unit;Just In Time;Company Site Office;;Biomedical;Yes;12;24; MYR 42,00 ; MYR 250,00 ;;Active;0;13
BP0014;Hoses/ Tubings/ Adaptors/ Couplers/ Connectors/ Pipes;01-2305-0102-001;Swive Air Hose;505;Unit;One Off;Company Site Office;;Biomedical;Yes;0;1; MYR 600,00 ; MYR 650,00 ;;Active;0;0
BP0018;Motors/ Micromotors/ Carbon brushes;01-0802-0502-007;Fresenius 4008S Motor Assy Degassing Complete;;Unit;Just In Time;Company Site Office;;Biomedical;Yes;1;5; MYR 10,00 ; MYR 1.000,00 ;Fresenius;Active;0;1
BP0003;Bulbs/ Lamps;01-2602-0200-018;PROJECTION LAMP 24V 250W OSRAM;Common;Unit;One Off;Company Site Office;;Biomedical;Yes;5;15; MYR 9,50 ; MYR 10,00 ;Common;Active;0;18
BP0003;Bulbs/ Lamps;01-1301-0601-001;Bulb 12V 50W;M650;Unit;One Off;Company Site Office;;Biomedical;Yes;5;10; MYR 185,00 ; MYR 190,00 ;Leica;Active;0;0
BP0027;Switchs/ Knobs/Buttons;01-0802-0502-021;Fresenius 4008S Float Switch Complete;;Unit;One Off;Company Site Office;;Biomedical;Yes;1;3; MYR 172,04 ; MYR 190,00 ;Fresenius;Active;0;0
